[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Starting the start of the month billing issue workaround script. [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 453 to 2152 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 648 to 6149 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 499 to 10290 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 400 to 12212 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 621 to 3775 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 311 to 14965 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 415 to 8182 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 442 to 6929 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 294 to 18710 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 459 to 6675 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 443 to 11437 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 448 to 4924 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 469 to 13150 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 295 to 8511 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1014 to 5109 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 470 to 10918 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 427 to 10760 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1251 to 1700 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 297 to 8420 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 436 to 8076 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 429 to 4370 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 374 to 10711 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 647 to 16514 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1071 to 7952 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 414 to 14860 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 594 to 10472 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 299 to 7565 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 659 to 23072 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 322 to 7565 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 326 to 7565 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 552 to 4577 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 329 to 7565 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1069 to 3308 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 468 to 5466 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 676 to 1904 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 434 to 5822 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 467 to 2021 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 345 to 6671 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 406 to 14494 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 365 to 6671 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 386 to 6671 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1089 to 5057 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 464 to 16727 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 544 to 8880 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 397 to 9137 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 753 to 9137 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 622 to 7907 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 548 to 5211 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1126 to 8348 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 393 to 9395 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 702 to 3432 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 827 to 3432 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 350 to 8409 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 651 to 7456 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 574 to 8242 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 485 to 16542 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1007 to 7456 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 332 to 4537 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 615 to 3973 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 411 to 13686 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1174 to 3588 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 624 to 6237 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 356 to 6990 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 375 to 12924 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 340 to 6009 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 556 to 9337 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 542 to 14042 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 598 to 5281 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 360 to 6699 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 541 to 8730 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 413 to 6699 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 657 to 5100 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1105 to 5564 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 591 to 10576 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 343 to 9458 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 845 to 9458 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 540 to 5709 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 681 to 3865 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 599 to 7107 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 595 to 16474 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 764 to 11023 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 573 to 8723 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 562 to 6261 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 563 to 5528 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 592 to 4775 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 571 to 7507 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 566 to 3834 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 722 to 7162 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 567 to 4859 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 625 to 5769 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 602 to 7749 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 611 to 7505 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 640 to 13208 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 607 to 7568 [] []
[2019-04-01 00:33:01] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 653 to 8947 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 866 to 5320 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 612 to 15877 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 759 to 15877 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 848 to 5921 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 554 to 8551 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 874 to 4870 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 629 to 3445 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 549 to 9037 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 543 to 6932 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 842 to 1900 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 641 to 8578 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 911 to 3427 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 901 to 6388 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 691 to 11093 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 715 to 13298 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 704 to 6773 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 738 to 6150 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 711 to 7805 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 747 to 4502 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 751 to 2941 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1387 to 1261 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 918 to 3285 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 688 to 23925 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 716 to 9721 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 666 to 3951 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 898 to 2604 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 694 to 14055 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 899 to 4252 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 931 to 2540 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 682 to 6048 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 876 to 6359 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 707 to 3884 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 746 to 7058 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 720 to 495 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 821 to 3264 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 663 to 4156 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 1175 to 2969 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 633 to 5952 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 823 to 5485 [] []
[2019-04-01 00:33:02] Month Start Billing Logs.INFO: Updating the end_day_reading of customer with id 729 to 10489 [] []
